user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
itsnastynaz,6.545660774398825e+18,6.930463230259252e+18,What did he say ???? 😱@tinysavage_,1613624243.0,10.0,https://www.tiktok.com/@itsnastynaz/video/6930463230259252486?lang=en,843100.0,7014.0,11600.0,5100000.0
itsnastynaz,6.545660774398825e+18,6.930288196639149e+18,Would You Keep It ? 🥺 OR give It Back ? 😍 Glad He Was Honest Because His Prize Arrived 💝🎁 #foryou #love #give #honesty,1613583473.0,36.0,https://www.tiktok.com/@itsnastynaz/video/6930288196639149317?lang=en,5000000.0,56000.0,50500.0,46400000.0
itsnastynaz,6.545660774398825e+18,6.930116973690965e+18,He Said Bag It Up 🤷🏻‍♂️😂 #foryou #customersbelike #kid,1613543636.0,22.0,https://www.tiktok.com/@itsnastynaz/video/6930116973690965254?lang=en,461000.0,602.0,3313.0,4200000.0
itsnastynaz,6.545660774398825e+18,6.929938239092493e+18,That’s For GoodLuck ☘️ #foryou #customersbelike @seanmoran42,1613501991.0,14.0,https://www.tiktok.com/@itsnastynaz/video/6929938239092493574?lang=en,190100.0,205.0,552.0,1400000.0
itsnastynaz,6.545660774398825e+18,6.929669535121411e+18,He Found This Dog Outside 🥺 And He Can’t Take Care Of Him 😢 I’ll Take Him In ❤️ ( What Should I Name Him ) 😱 #lost #dog #love #foryou,1613439433.0,12.0,https://www.tiktok.com/@itsnastynaz/video/6929669535121411334?lang=en,268200.0,483.0,6632.0,1800000.0
itsnastynaz,6.545660774398825e+18,6.929574087123619e+18,Eww Who Eats Ritz With Milk 🤮,1613417205.0,14.0,https://www.tiktok.com/@itsnastynaz/video/6929574087123619077?lang=en,392200.0,520.0,1930.0,10000000.0
itsnastynaz,6.545660774398825e+18,6.929528821901282e+18,He Already Lost.......😂 #foryou #funny #gottem,1613406668.0,7.0,https://www.tiktok.com/@itsnastynaz/video/6929528821901282565?lang=en,166300.0,409.0,739.0,1400000.0
itsnastynaz,6.545660774398825e+18,6.929294454515879e+18,"He Has No Family Or Loved One To Spend Worh Today 😔 , So I Gave Him Flowers And A Suprise 🙏🎁 ( GOD BLESS ) ❤️ #homeless",1613352101.0,29.0,https://www.tiktok.com/@itsnastynaz/video/6929294454515879173?lang=en,244500.0,1392.0,5076.0,1900000.0
itsnastynaz,6.545660774398825e+18,6.929150446971948e+18,Did I Handle This Ok ? 🤷🏻‍♂️ #foryou #customersbelike #rude,1613318569.0,9.0,https://www.tiktok.com/@itsnastynaz/video/6929150446971948293?lang=en,254300.0,375.0,7449.0,2100000.0
itsnastynaz,6.545660774398825e+18,6.92883529590745e+18,That’s For GoodLuck 🍀 #foryou #rude #kid #fyp,1613245190.0,18.0,https://www.tiktok.com/@itsnastynaz/video/6928835295907450117?lang=en,288300.0,230.0,1067.0,2100000.0
